vendor,vendorDecorId,vendorSku,displayName,slug,materialType,decorFamily,colorFamily,surfaceHint,targetInternalMaterialId,proceduralTemplate,grainPatternId,surfaceProfile,colorTransformMode,baseColorHex,grainColorHex,secondaryColorHex,tintStrength,grainContrast,hueShiftDegrees,saturationScale,valueScale,contrastScale,roughnessMultiplier,roughnessOverride,bumpMultiplier,grainDepth,coatMultiplier,tileSizeMeters,uvScale,grainDirectionDefault,patternRotationDegrees,edgeStrategy,edgeColorHex,mappingStatus,mappingLocked,confidence,colorSourceMethod,sourceReference,reviewedBy,reviewedAt,notes
demos,demos_master_oak_natural_matte_001,,Dub Natural Matte,dub-natural-matte,wood,oak,natural,matte,wood_oak_neutral_template,wood_oak_neutral,oak_medium_grain,wood_standard_matte,tint_multiply,#b98a55,#6f4425,,0.38,0.35,0,1,1,1,1,,1,0.25,1,0.4,2.5,vertical,0,match_grain,,mapped,true,0.86,website_visual_match,Demos catalog visual reference,Laube,2026-05-20,No Demos texture used. Approved internal mapping.
demos,demos_master_oak_light_matte_002,,Dub Light Matte,dub-light-matte,wood,oak,light,matte,wood_oak_neutral_template,wood_oak_neutral,oak_fine_light_grain,wood_standard_matte,tint_multiply,#d9bd91,#9d7242,,0.32,0.25,0,0.95,1.05,1,1,,0.9,0.18,1,0.4,2.5,vertical,0,match_grain,,mapped,true,0.84,website_visual_match,Demos catalog visual reference,Laube,2026-05-20,No Demos texture used. Approved internal mapping.
demos,demos_master_oak_brown_matte_003,,Dub Brown Matte,dub-brown-matte,wood,oak,brown,matte,wood_oak_neutral_template,wood_oak_neutral,oak_medium_dark_grain,wood_standard_matte,tint_multiply,#8a5735,#4c2f1d,,0.4,0.42,0,1.05,0.9,1.05,1,,1.05,0.3,1,0.4,2.5,vertical,0,match_grain,,mapped,true,0.82,manual_approx,Demos catalog visual reference,Laube,2026-05-20,No Demos texture used. Approved internal mapping.
demos,demos_master_oak_rustic_deep_004,,Dub Rustic Deep Grain,dub-rustic-deep-grain,wood,oak,rustic,raw,wood_deep_grain_neutral_template,wood_deep_grain_neutral,oak_rustic_deep_grain,wood_raw_matte,tint_multiply,#9a633a,#3f2415,#c78b55,0.45,0.65,0,1.1,0.92,1.1,1.08,,1.25,0.55,1,0.4,2.5,vertical,0,match_grain,,mapped,true,0.78,manual_approx,Demos catalog visual reference,Laube,2026-05-20,No Demos texture used. Approved internal mapping.
demos,demos_master_walnut_satin_005,,Orech Satin,orech-satin,wood,walnut,brown,satin,wood_walnut_neutral_template,wood_walnut_neutral,walnut_medium_grain,wood_satin_lacquer,tint_multiply,#75482e,#2f1b12,,0.34,0.45,0,1.05,0.9,1.05,0.95,,1,0.28,1.1,0.4,2.5,vertical,0,match_grain,,mapped,true,0.88,website_visual_match,Demos catalog visual reference,Laube,2026-05-20,No Demos texture used. Approved internal mapping.
demos,demos_master_walnut_dark_matte_006,,Orech Dark Matte,orech-dark-matte,wood,walnut,dark,matte,wood_walnut_neutral_template,wood_walnut_neutral,walnut_dark_grain,wood_standard_matte,tint_multiply,#4a2d20,#1f120c,,0.42,0.5,0,1.0,0.78,1.05,1.05,,1.1,0.34,1,0.4,2.5,vertical,0,match_grain,,mapped,true,0.81,manual_approx,Demos catalog visual reference,Laube,2026-05-20,No Demos texture used. Approved internal mapping.
demos,demos_master_fine_light_wood_007,,Fine Light Wood,fine-light-wood,wood,fine_grain,light,matte,wood_fine_grain_neutral_template,wood_fine_grain_neutral,fine_light_linear_grain,wood_standard_matte,tint_multiply,#caa06a,#8a6239,,0.3,0.22,0,0.95,1.08,1,0.95,,0.85,0.16,1,0.4,2.5,vertical,0,match_grain,,mapped,true,0.8,internal_review,Internal visual mapping,Laube,2026-05-20,No Demos texture used. Approved internal mapping.
demos,demos_master_supermat_subtle_008,,Supermat Subtle Wood,supermat-subtle-wood,wood,subtle_grain,cream,supermat,wood_subtle_grain_neutral_template,wood_subtle_grain_neutral,subtle_soft_grain,wood_soft_touch_supermat,tint_multiply,#d7c3a2,#b28d62,,0.2,0.12,0,0.85,1.1,0.95,1,,0.5,0.06,1,0.4,2.5,vertical,0,match_base,,mapped,true,0.79,internal_review,Internal visual mapping,Laube,2026-05-20,No Demos texture used. Approved internal mapping.
demos,demos_master_black_wood_009,,Black Wood,black-wood,wood,fine_grain,black,matte,wood_fine_grain_neutral_template,wood_fine_grain_neutral,fine_black_grain,wood_standard_matte,tint_multiply,#111111,#050505,,0.7,0.28,0,0.55,0.6,1.1,1.1,,0.8,0.12,1,0.4,2.5,vertical,0,solid_edge,#111111,mapped,true,0.83,website_visual_match,Demos catalog visual reference,Laube,2026-05-20,No Demos texture used. Approved internal mapping.
demos,demos_master_solid_cream_010,,Solid Cream,solid-cream,solid,solid,cream,matte,solid_color_neutral_template,solid_color_neutral,solid_none,generic_matte,solid_color,#f0ece4,,,1,0,0,1,1,1,1,0.55,0,0,1,0.4,2.5,none,0,solid_edge,#f0ece4,mapped,true,0.9,official_swatch,Approved color swatch,Laube,2026-05-20,No Demos texture used. Approved internal mapping.
demos,demos_master_generic_grey_011,,Generic Grey,generic-grey,generic,generic,grey,matte,generic_neutral_template,generic_neutral,generic_none,generic_matte,solid_color,#8a8a8a,,,1,0,0,1,1,1,1,0.5,0,0,1,0.4,2.5,none,0,solid_edge,#8a8a8a,mapped,true,0.86,manual_approx,Internal color approximation,Laube,2026-05-20,No Demos texture used. Approved internal mapping.
demos,demos_master_needs_review_012,,Unknown Warm Decor,unknown-warm-decor,wood,unknown,warm,unknown,wood_oak_neutral_template,wood_oak_neutral,oak_medium_grain,wood_standard_matte,tint_multiply,#b98248,#6f4425,,0.25,0.3,0,1,1,1,1,,1,0.2,1,0.4,2.5,vertical,0,unknown,,needs_review,false,0.4,rule_inferred,Demos catalog visual reference,,,No Demos texture used. Needs human review. Auto draft. Needs human review. No Demos texture used.
